Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Pierrefonds-Dollard,seat24056,29296,10893,6034,0,1942,4141,0,52306
Pontiac-Kitigan Zibi,seat24057,23148,11312,5997,1539,2361,7993,445,52795
Portneuf-Jacques-Cartier,seat24058,8608,29780,2678,0,1392,13515,907,56880
Québec Centre,seat24059,19078,9620,6774,1264,840,15550,312,53438
Repentigny,seat24060,15737,4941,4169,0,0,28688,2338,55873
Richmond-Arthabaska,seat24061,8543,28513,2550,0,2058,14150,1345,57159
Rimouski-La Matapédia,seat24062,10846,5507,2882,0,1012,26778,2224,49249
Rivière-des-Milles-Îles,seat24063,18624,5377,3803,959,1437,21399,1102,52701
Rivière-du-Nord,seat24064,11514,6173,3534,149,1963,26422,1481,51236
Rosemont-La Petite-Patrie,seat24065,12738,2199,26708,1308,0,11751,284,54988
Saint-Hyacinthe-Bagot,seat24066,12030,7166,6170,0,1445,25165,1055,53031
Saint-Jean,seat24067,16650,7544,4308,1262,0,27243,2203,59210
Saint-Laurent,seat24068,23445,7225,4242,47,1246,3101,145,39451
Saint-Léonard-Saint-Michel,seat24069,28327,4260,3322,0,1526,3225,0,40660
Saint-Maurice-Champlain,seat24070,23913,10139,2849,731,0,16940,1765,56337
Shefford,seat24071,19968,7234,3173,1059,2073,24997,1122,59626
Sherbrooke,seat24072,21436,7318,7980,1645,1401,16583,778,57141
Terrebonne,seat24073,16469,5879,3738,801,1506,23293,4522,56208
Thérèse-De Blainville,seat24074,19402,6077,4002,1064,1474,22503,507,55029
Trois-Rivières,seat24075,16637,17053,4680,754,1115,17136,735,58110
Vaudreuil,seat24076,28430,9853,6372,1511,0,12489,1155,59810
Ville-Marie-Le Sud-Ouest-Île-des-Soeurs,seat24077,20405,5135,7073,1063,1038,4674,195,39583
Vimy,seat24078,22998,6358,4287,0,1987,10238,0,45868
Acadie-Bathurst,seat13001,28840,6087,4968,1252,2592,0,549,44288
Beauséjour,seat13002,27271,9511,5383,2797,3717,0,389,49068
Fredericton-Oromocto,seat13003,15979,14193,5508,5450,134,0,622,41886
Fundy Royal,seat13004,9900,18116,5664,1961,3369,0,0,39010
Madawaska-Restigouche,seat13005,18724,9873,2206,966,2717,0,1379,35865
Miramichi-Grand Lake,seat13006,12377,15567,2499,1577,1819,0,29,33868
Moncton-Riverview-Dieppe,seat13007,20421,9220,6851,1732,2563,0,2,40789
Saint John-Kennebecasis,seat13008,16082,13688,4961,1098,1839,0,0,37668
Saint John-St. Croix,seat13009,12008,20210,5588,1731,3258,0,69,42864
Tobique-Mactaquac,seat13010,7343,17212,3724,1599,2337,0,279,32494
Cardigan,seat11001,10944,6693,2113,1040,711,0,143,21644
Charlottetown,seat11002,8919,5932,2048,1832,369,0,0,19100
Egmont,seat11003,9546,6406,1785,1954,1031,0,0,20722
Malpeque,seat11004,9637,7642,1855,3222,636,0,2,22994
Acadie-Annapolis,seat12001,12334,20636,5091,0,2125,0,0,40186
Cape Breton-Canso-Antigonish,seat12002,19605,15028,6273,204,1691,0,114,42915
Central Nova,seat12003,17928,13352,6507,619,1613,0,485,40504
Cumberland-Colchester,seat12004,13822,18601,4984,1045,1687,0,278,40417
Dartmouth-Cole Harbour,seat12005,25883,1530,16559,1460,4896,0,0,50328
Halifax,seat12006,20070,6038,19187,1045,1003,0,192,47535
Halifax West,seat12007,21670,9796,11853,1128,1049,0,67,45563
Kings-Hants,seat12008,21590,14702,9199,940,2210,0,0,48641
Sackville-Bedford-Preston,seat12009,22283,12368,12341,1013,1739,0,23,49767
South Shore-St. Margaret's,seat12010,14794,18105,7575,1178,0,0,0,41652
Sydney-Glace Bay,seat12011,17257,14159,8264,269,1351,0,96,41396
Avalon,seat10001,18163,11788,5026,0,644,0,0,35621
Cape Spear,seat10002,19368,7179,8248,328,628,0,0,35751
Central Newfoundland,seat10003,14646,14927,2261,0,0,0,0,31834
Labrador,seat10004,4107,2914,2289,846,295,0,0,10451
Long Range Mountains,seat10005,16178,14344,4347,0,1578,0,0,36447
St. John's East,seat10006,16655,6676,12913,0,719,0,0,36963
Terra Nova-The Peninsulas,seat10007,15112,12939,2651,0,1273,0,0,31975
Northwest Territories,seat61001,5387,2031,4558,0,0,0,1791,13767
Nunavut,seat62001,2578,1184,3427,0,0,0,0,7189
Yukon,seat60001,6471,5096,4354,0,0,0,2639,18560
